"figure_number","figure_title","panel_contents","canonical_source_path","destination_path","file_format","byte_size","sha256_source","sha256_destination","cited_in","verification_status"
"Figure 7","BT1 swimming-resistance index","Single panel: resistance index by treatment and exposure","outputs/manuscript/figures_final/Fig7_RN_resistance.pdf","final_manuscript/figures/Fig7_RN_resistance.pdf","PDF","36112","19517080362a60327ef535607326c9a445c7c725d012c059732674a3587d6f8b","19517080362a60327ef535607326c9a445c7c725d012c059732674a3587d6f8b","Results 3.4.4","VERIFIED - hashes match"
"Figure 7","BT1 swimming-resistance index","Single panel: resistance index by treatment and exposure","outputs/manuscript/figures_final/Fig7_RN_resistance.png","final_manuscript/figures/Fig7_RN_resistance.png","PNG","84132","477191d710ba257a4a67cd70efdac7d3257667b63af4f6ac8ab29b6fb10aeb10","477191d710ba257a4a67cd70efdac7d3257667b63af4f6ac8ab29b6fb10aeb10","Results 3.4.4","VERIFIED - hashes match"
"Figure 8","BT1 blood glucose","Single panel: blood glucose (mg/dL)","outputs/manuscript/figures_final/Fig8_blood_glucose.pdf","final_manuscript/figures/Fig8_blood_glucose.pdf","PDF","38699","40c19a232b9fe4172f22a3ddabd96da20ffc01e1b0d72f26774d951b40ba1421","40c19a232b9fe4172f22a3ddabd96da20ffc01e1b0d72f26774d951b40ba1421","Results 3.4.5","VERIFIED - hashes match"
"Figure 8","BT1 blood glucose","Single panel: blood glucose (mg/dL)","outputs/manuscript/figures_final/Fig8_blood_glucose.png","final_manuscript/figures/Fig8_blood_glucose.png","PNG","75745","a8da11a179e4bde21265c92e86a0a3ab7de66df0a9dbfb6080feaecc390d2f27","a8da11a179e4bde21265c92e86a0a3ab7de66df0a9dbfb6080feaecc390d2f27","Results 3.4.5","VERIFIED - hashes match"
"Figure S1","Complete PCA variance spectrum","Single panel: scree, 14 components with cumulative variance","outputs/manuscript/figures_final/FigS1_PCA_scree.pdf","final_manuscript/figures/FigS1_PCA_scree.pdf","PDF","15633","a8a901aef2834ed55539bae577fdaa53ff12fdcb007190ec9a88d641778bee5a","a8a901aef2834ed55539bae577fdaa53ff12fdcb007190ec9a88d641778bee5a","Results 3.3.2","VERIFIED - hashes match"
"Figure S1","Complete PCA variance spectrum","Single panel: scree, 14 components with cumulative variance","outputs/manuscript/figures_final/FigS1_PCA_scree.png","final_manuscript/figures/FigS1_PCA_scree.png","PNG","98116","a3867b9eb7ca95e733d3efe63b5b3806256981aac296e55a510bff58c4e41399","a3867b9eb7ca95e733d3efe63b5b3806256981aac296e55a510bff58c4e41399","Results 3.3.2","VERIFIED - hashes match"
"Figure S2","LDT first choice and latency","A: first choice (%); B: latency to first entry","outputs/manuscript/figures_final/FigS2_LDT_choice.pdf","final_manuscript/figures/FigS2_LDT_choice.pdf","PDF","47261","fa3cde72659427947e141e33d44bbaf2b179a464bcaa11344f3586c58cf6b72e","fa3cde72659427947e141e33d44bbaf2b179a464bcaa11344f3586c58cf6b72e","Results 3.4.2","VERIFIED - hashes match"
"Figure S2","LDT first choice and latency","A: first choice (%); B: latency to first entry","outputs/manuscript/figures_final/FigS2_LDT_choice.png","final_manuscript/figures/FigS2_LDT_choice.png","PNG","125988","823ce6e0d5ed28acd599fe0e4eeb3915eca72c7954f7fb702c346cbd7e3cc310","823ce6e0d5ed28acd599fe0e4eeb3915eca72c7954f7fb702c346cbd7e3cc310","Results 3.4.2","VERIFIED - hashes match"
"Figure S3","LDT zone transitions","Single panel: number of zone transitions","outputs/manuscript/figures_final/FigS3_num_changes.pdf","final_manuscript/figures/FigS3_num_changes.pdf","PDF","38071","da7db5318f87ffa58b0e1df03c1ce0d5b414cee9217d722a1d58002ff0118fea","da7db5318f87ffa58b0e1df03c1ce0d5b414cee9217d722a1d58002ff0118fea","Results 3.4.2","VERIFIED - hashes match"
"Figure S3","LDT zone transitions","Single panel: number of zone transitions","outputs/manuscript/figures_final/FigS3_num_changes.png","final_manuscript/figures/FigS3_num_changes.png","PNG","98624","325680a50df836be6829d4b15af93db579ea7966df43204969e392e40530d51c","325680a50df836be6829d4b15af93db579ea7966df43204969e392e40530d51c","Results 3.4.2","VERIFIED - hashes match"
"Figure S4","NTT mean velocity","Single panel: mean velocity (cm/s)","outputs/manuscript/figures_final/FigS4_vel_mean.pdf","final_manuscript/figures/FigS4_vel_mean.pdf","PDF","44048","da16f8ee1c76fe85a588c7125f891f022c4b537e07233ee0eb117fd093247a3d","da16f8ee1c76fe85a588c7125f891f022c4b537e07233ee0eb117fd093247a3d","Results 3.4.3","VERIFIED - hashes match"
"Figure S4","NTT mean velocity","Single panel: mean velocity (cm/s)","outputs/manuscript/figures_final/FigS4_vel_mean.png","final_manuscript/figures/FigS4_vel_mean.png","PNG","98223","3d11421788c8f03e97cd3d7e84afa4ced85f871a096a7e3d91f67ecb16ad4b97","3d11421788c8f03e97cd3d7e84afa4ced85f871a096a7e3d91f67ecb16ad4b97","Results 3.4.3","VERIFIED - hashes match"
"Figure S5","NTT total movement time","Single panel: total movement time","outputs/manuscript/figures_final/FigS5_mov_total.pdf","final_manuscript/figures/FigS5_mov_total.pdf","PDF","44080","0b2ca938e5906839902f2980bd544413f21072519833cba15d56f5a4449ffb77","0b2ca938e5906839902f2980bd544413f21072519833cba15d56f5a4449ffb77","Results 3.4.3","VERIFIED - hashes match"
"Figure S5","NTT total movement time","Single panel: total movement time","outputs/manuscript/figures_final/FigS5_mov_total.png","final_manuscript/figures/FigS5_mov_total.png","PNG","92803","3c3a062d05b5b7b0f36e86eac831c6f0977ca98ebd36c281a1f14151f8b2f0c4","3c3a062d05b5b7b0f36e86eac831c6f0977ca98ebd36c281a1f14151f8b2f0c4","Results 3.4.3","VERIFIED - hashes match"
"Figure S6","Resistance reinsertion attempts","Single panel: number of attempts","outputs/manuscript/figures_final/FigS6_attempts.pdf","final_manuscript/figures/FigS6_attempts.pdf","PDF","36064","e2fd5bb6f65e4df6a2f00ecd8255a5da74a631cf3c5533bf02ee4443a9dd72b4","e2fd5bb6f65e4df6a2f00ecd8255a5da74a631cf3c5533bf02ee4443a9dd72b4","Results 3.4.4","VERIFIED - hashes match"
"Figure S6","Resistance reinsertion attempts","Single panel: number of attempts","outputs/manuscript/figures_final/FigS6_attempts.png","final_manuscript/figures/FigS6_attempts.png","PNG","87011","178c96ac5e6f96f32f695c4bf9e04f7dc8f25049520c3f22cf017fabbbd4585e","178c96ac5e6f96f32f695c4bf9e04f7dc8f25049520c3f22cf017fabbbd4585e","Results 3.4.4","VERIFIED - hashes match"
"Figure S7","Condition factor","Single panel: Fulton's condition factor K (descriptive)","outputs/manuscript/figures_final/FigS7_condition_K.pdf","final_manuscript/figures/FigS7_condition_K.pdf","PDF","37209","2ff4fbf316706130ef299ee61cbe2dad0d11d80d9d2e4632e2ccf2f2da86b7c1","2ff4fbf316706130ef299ee61cbe2dad0d11d80d9d2e4632e2ccf2f2da86b7c1","Results 3.4.5","VERIFIED - hashes match"
"Figure S7","Condition factor","Single panel: Fulton's condition factor K (descriptive)","outputs/manuscript/figures_final/FigS7_condition_K.png","final_manuscript/figures/FigS7_condition_K.png","PNG","95315","ff68a8dc3203dbb767408687fd316676cf445db77b8fcad10b0bd34307c24c58","ff68a8dc3203dbb767408687fd316676cf445db77b8fcad10b0bd34307c24c58","Results 3.4.5","VERIFIED - hashes match"
