"endpoint","resolved_variable","source_test","domain","model_method","term","p_value","p_adj_bh","effect_flag_bh_0_05","model_note"
"num_changes","num_changes","LDT","LDT transition behavior","negative-binomial GLM","treatment",0.563795088298979,0.563795088298979,FALSE,"Count endpoint model. Variance-to-mean ratio = 12.409."
"num_changes","num_changes","LDT","LDT transition behavior","negative-binomial GLM","exposure",0.230290733683545,0.345436100525318,FALSE,"Count endpoint model. Variance-to-mean ratio = 12.409."
"num_changes","num_changes","LDT","LDT transition behavior","negative-binomial GLM","treatment:exposure",0.175240756650697,0.345436100525318,FALSE,"Count endpoint model. Variance-to-mean ratio = 12.409."
"dist_total","dist_total","NTT","NTT locomotion","ART-ANOVA","treatment",0.678460251381646,0.726921697908906,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"dist_total","dist_total","NTT","NTT locomotion","ART-ANOVA","exposure",0.775556367506729,0.802299690524203,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"dist_total","dist_total","NTT","NTT locomotion","ART-ANOVA","treatment:exposure",0.000272778795983042,0.00116905198278447,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"mov_total","mov_total","NTT","NTT locomotion","ART-ANOVA","treatment",0.116949074993387,0.194915124988979,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"mov_total","mov_total","NTT","NTT locomotion","ART-ANOVA","exposure",0.199848016498909,0.272520022498512,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"mov_total","mov_total","NTT","NTT locomotion","ART-ANOVA","treatment:exposure",0.0108170424866448,0.0289612085181832,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"vel_mean","vel_mean","NTT","NTT locomotion","ART-ANOVA","treatment",0.0356335064753198,0.0668128246412246,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"vel_mean","vel_mean","NTT","NTT locomotion","ART-ANOVA","exposure",0.941252013115864,0.941252013115864,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"vel_mean","vel_mean","NTT","NTT locomotion","ART-ANOVA","treatment:exposure",0.00193245192194773,0.00644150640649244,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"stratum_pref","stratum_pref","NTT","NTT spatial position","ART-ANOVA","treatment",0.0138884503503355,0.0320502700392358,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"stratum_pref","stratum_pref","NTT","NTT spatial position","ART-ANOVA","exposure",0.133568650674774,0.200352976012161,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"stratum_pref","stratum_pref","NTT","NTT spatial position","ART-ANOVA","treatment:exposure",0.130608669800957,0.200352976012161,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"blood_sugar","blood_sugar","post-test physiology","physiology","ART-ANOVA","treatment",0.601963343211025,0.668848159123361,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"blood_sugar","blood_sugar","post-test physiology","physiology","ART-ANOVA","exposure",0.00746312046633688,0.0223893613990107,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"blood_sugar","blood_sugar","post-test physiology","physiology","ART-ANOVA","treatment:exposure",0.000512402800757065,0.00192151050283899,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"attempts","attempts","RN","endurance","Poisson GLM","NULL",NA,NA,FALSE,"Count endpoint model. Variance-to-mean ratio = 0.494."
"attempts","attempts","RN","endurance","Poisson GLM","treatment",0.208829385574659,0.313244078361989,FALSE,"Count endpoint model. Variance-to-mean ratio = 0.494."
"attempts","attempts","RN","endurance","Poisson GLM","exposure",0.872339792432777,0.872339792432777,FALSE,"Count endpoint model. Variance-to-mean ratio = 0.494."
"attempts","attempts","RN","endurance","Poisson GLM","treatment:exposure",0.621845008492965,0.746214010191558,FALSE,"Count endpoint model. Variance-to-mean ratio = 0.494."
"last_flux","last_flux","RN","endurance","Poisson GLM","NULL",NA,NA,FALSE,"Count endpoint model. Variance-to-mean ratio = 1.039."
"last_flux","last_flux","RN","endurance","Poisson GLM","treatment",1.54250566977137e-05,9.2550340186282e-05,TRUE,"Count endpoint model. Variance-to-mean ratio = 1.039."
"last_flux","last_flux","RN","endurance","Poisson GLM","exposure",0.130844532799456,0.30858813291077,FALSE,"Count endpoint model. Variance-to-mean ratio = 1.039."
"last_flux","last_flux","RN","endurance","Poisson GLM","treatment:exposure",0.154294066455385,0.30858813291077,FALSE,"Count endpoint model. Variance-to-mean ratio = 1.039."
"resistance_index","resistance_index","RN","endurance","ART-ANOVA","treatment",8.23319626234562e-07,1.23497943935184e-05,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"resistance_index","resistance_index","RN","endurance","ART-ANOVA","exposure",0.0115844834072733,0.0289612085181832,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"resistance_index","resistance_index","RN","endurance","ART-ANOVA","treatment:exposure",0.0270772770179259,0.0541545540358517,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"time_in_last_flux","time_in_last_flux","RN","endurance","ART-ANOVA","treatment",0.2601033734335,0.312124048120201,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"time_in_last_flux","time_in_last_flux","RN","endurance","ART-ANOVA","exposure",0.23263436062909,0.303436122559682,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"time_in_last_flux","time_in_last_flux","RN","endurance","ART-ANOVA","treatment:exposure",0.298662539720136,0.344610622754003,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
