"endpoint","resolved_variable","domain","source_test","data_type","model_family","dataset","model_method","term","df","statistic","p_value","model_note","p_adj_bh","effect_flag_bh_0_05"
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","negative-binomial GLM","NULL",NA,NA,NA,"Count endpoint model. Variance-to-mean ratio = 12.409.",NA,FALSE
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","negative-binomial GLM","treatment",2,2,0.563795088298979,"Count endpoint model. Variance-to-mean ratio = 12.409.",0.563795088298979,FALSE
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","negative-binomial GLM","exposure",2,2,0.230290733683545,"Count endpoint model. Variance-to-mean ratio = 12.409.",0.345436100525318,FALSE
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","negative-binomial GLM","treatment:exposure",4,4,0.175240756650697,"Count endpoint model. Variance-to-mean ratio = 12.409.",0.345436100525318,FALSE
"dist_total","dist_total","NTT locomotion","NTT","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.678460251381646,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.726921697908906,FALSE
"dist_total","dist_total","NTT locomotion","NTT","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.775556367506729,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.802299690524203,FALSE
"dist_total","dist_total","NTT locomotion","NTT","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.000272778795983042,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.00116905198278447,TRUE
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.116949074993387,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.194915124988979,FALSE
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.199848016498909,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.272520022498512,FALSE
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.0108170424866448,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0289612085181832,TRUE
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.0356335064753198,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0668128246412246,FALSE
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.941252013115864,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.941252013115864,FALSE
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.00193245192194773,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.00644150640649244,TRUE
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment",2,2,0.0138884503503355,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0320502700392358,TRUE
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","exposure",2,2,0.133568650674774,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.200352976012161,FALSE
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment:exposure",4,4,0.130608669800957,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.200352976012161,FALSE
"blood_sugar","blood_sugar","physiology","post-test physiology","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.601963343211025,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.668848159123361,FALSE
"blood_sugar","blood_sugar","physiology","post-test physiology","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.00746312046633688,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0223893613990107,TRUE
"blood_sugar","blood_sugar","physiology","post-test physiology","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.000512402800757065,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.00192151050283899,TRUE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","NULL",NA,NA,NA,"Count endpoint model. Variance-to-mean ratio = 0.494.",NA,FALSE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","treatment",2,2,0.208829385574659,"Count endpoint model. Variance-to-mean ratio = 0.494.",0.313244078361989,FALSE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","exposure",2,2,0.872339792432777,"Count endpoint model. Variance-to-mean ratio = 0.494.",0.872339792432777,FALSE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","treatment:exposure",4,4,0.621845008492965,"Count endpoint model. Variance-to-mean ratio = 0.494.",0.746214010191558,FALSE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","NULL",NA,NA,NA,"Count endpoint model. Variance-to-mean ratio = 1.039.",NA,FALSE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","treatment",2,2,1.54250566977137e-05,"Count endpoint model. Variance-to-mean ratio = 1.039.",9.2550340186282e-05,TRUE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","exposure",2,2,0.130844532799456,"Count endpoint model. Variance-to-mean ratio = 1.039.",0.30858813291077,FALSE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","treatment:exposure",4,4,0.154294066455385,"Count endpoint model. Variance-to-mean ratio = 1.039.",0.30858813291077,FALSE
"resistance_index","resistance_index","endurance","RN","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,8.23319626234562e-07,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",1.23497943935184e-05,TRUE
"resistance_index","resistance_index","endurance","RN","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.0115844834072733,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0289612085181832,TRUE
"resistance_index","resistance_index","endurance","RN","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.0270772770179259,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0541545540358517,FALSE
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment",2,2,0.2601033734335,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.312124048120201,FALSE
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","exposure",2,2,0.23263436062909,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.303436122559682,FALSE
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment:exposure",4,4,0.298662539720136,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.344610622754003,FALSE
